isbn,publication_year,category,book_name,author,price_in_euros,publisher,published_country,language,no_of_pages
9781846975936,2022,crime,the goldenacre,Miller Philip,9.67,Birlinn Ltd,Scotland,English,304.0
9781408712177,2022,crime,the cliff house,Brookmyre Christopher,15.43,"Little, Brown",England,English,345.0
9781405950800,2022,crime,the anomaly,Herv Le Tellier,9.26,Penguin Books Ltd,England,English,336.0
9781787633377,2022,crime,this charming man,C K McDonnell,11.63,Transworld,England,English,320.0
9781788424233,2022,crime,death and croissants,Ian Moore,8.67,Duckworth Books,England,English,288.0
9781788423823,2022,crime,death and fromage,Ian Moore,12.99,Duckworth Books,England,English,304.0
9781782277415,2022,crime,death on gokumon island,Seishi Yokomizo,8.21,Steerforth Press,England,English,272.0
9780571353286,2022,crime,dear little corpses,Nicola Upson,11.99,Faber & Faber,England,English,341.0
9781787633261,2022,crime,the apartment upstairs,Kara Lesley,12.99,Transworld,England,English,289.0
9781529379426,2022,crime,the madness of crowds,Louise Penny,6.99,Hodder & Stoughton,England,English,436.0
9781838854140,2022,crime,the dark remains,McIlvanney William,8.21,Canongate Books,Scotland,English,310.0
9781472157362,2022,crime,where the crawdads sing,Delia Owens,8.99,"Little, Brown",England,English,370.0
9780140167771,1993,crime,the secret history,Donna Tartt,8.99,Penguin Books Ltd,England,English,659.0
9781529115178,2022,crime,lily,Rose Tremain,8.5,Random House,England,English,275.0
9780008374983,2022,crime,magpie,Day Elizabeth,7.99,HarperCollins Publishers,England,English,326.0
9781838856250,2022,crime,a tale for the time being,Ozeki Ruth,8.75,Canongate Books,Scotland,English,455.0
9781509889709,2022,crime,the heron's cry,Ann Cleeves,7.99,Pan Macmillan,England,English,381.0
9781529412000,2022,crime,widowland,C Carey J,7.99,Quercus Publishing,England,English,435.0
9781529112078,2022,crime,intimacies,Katie Kitamura M,8.99,Random House,England,English,224.0
9781472276308,2022,crime,the dictator's wife,Berry Freya,13.99,Headline Publishing Group,England,English,416.0
9781529176759,2022,crime,a slow fire burning,Hawkins Paula,8.5,Transworld,England,English,365.0
9780008196561,2022,crime,they do it with mirrors,Agatha Christie,6.99,HarperCollins Publishers,England,English,218.0
9780008196530,2022,crime,the body in the library,Agatha Christie,6.99,HarperCollins Publishers,England,English,215.0
9780008196516,2022,crime,the murder at the vicarage,Agatha Christie,7.99,HarperCollins Publishers,England,English,298.0
9781529076981,2022,crime,never,Follett Ken,8.39,Pan Macmillan,England,English,815.0
9781529378702,2022,crime,bad actors,Herron Mick,13.99,John Murray Press,England,English,340.0
9781509889617,2022,crime,the rising tide,Ann Cleeves,13.99,Pan Macmillan,England,English,373.0
9780702304941,2022,crime,win lose kill die,Cynthia Murphy,7.99,Scholastic,England,English,308.0
9781409199090,2021,crime,fair warning,Connelly Michael,6.3,Orion,England,English,447.0
9780008467319,2022,crime,marple,Agatha Christie,20.0,HarperCollins Publishers,England,English,400.0
9781779511195,2020,crime,v for vendetta,Alan Moore,15.99,DC Black Label,California,English,288.0
9780751576948,2021,crime,still life,McDermid Val,6.3,"Little, Brown",England,English,494.0
